id,Taste,Canonical SMILES,Canonicalized Taste Intermediary,Canonicalized Taste,Canonicalized SMILES,Source,Original Labels
PMTDB00806,bitter,CC(=CCO)COC1C(C(C(C(O1)CO)O)OC(=O)CC2=CC(=C(C=C2)O)O)OC(=O)CC3=CC(=C(C=C3)O)O,bitter,bitter,CC(=CCO)COC1OC(CO)C(O)C(OC(=O)Cc2ccc(O)c(O)c2)C1OC(=O)Cc1ccc(O)c(O)c1,phytocompounds_db,bitter
PMTDB00807,bitter,CC(=CCO)COC1C(C(C(C(O1)CO)O)OC(=O)CC2=CC=C(C=C2)O)OC(=O)CC3=CC(=C(C=C3)O)O,bitter,bitter,CC(=CCO)COC1OC(CO)C(O)C(OC(=O)Cc2ccc(O)cc2)C1OC(=O)Cc1ccc(O)c(O)c1,phytocompounds_db,bitter
PMTDB00808,bitter,CC(=CCO)COC1C(C(C(C(O1)CO)O)OC(=O)CC2=CC(=C(C=C2)O)O)OC(=O)CC3=CC=C(C=C3)O,bitter,bitter,CC(=CCO)COC1OC(CO)C(O)C(OC(=O)Cc2ccc(O)c(O)c2)C1OC(=O)Cc1ccc(O)cc1,phytocompounds_db,bitter
PMTDB00809,bitter,CC(=CCO)COC1C(C(C(C(O1)COC(=O)CC2=CC(=C(C=C2)O)O)O)O)OC(=O)CC3=CC(=C(C=C3)O)O,bitter,bitter,CC(=CCO)COC1OC(COC(=O)Cc2ccc(O)c(O)c2)C(O)C(O)C1OC(=O)Cc1ccc(O)c(O)c1,phytocompounds_db,bitter
PMTDB00810,bitter,CC(=CCO)COC1C(C(C(C(O1)COC(=O)CC2=CC(=C(C=C2)O)O)O)OC(=O)CC3=CC=C(C=C3)O)OC(=O)CC4=CC(=C(C=C4)O)O,bitter,bitter,CC(=CCO)COC1OC(COC(=O)Cc2ccc(O)c(O)c2)C(O)C(OC(=O)Cc2ccc(O)cc2)C1OC(=O)Cc1ccc(O)c(O)c1,phytocompounds_db,bitter
PMTDB00811,bitter,C1=CC(=C(C=C1CC(=O)OCC2C(C(C(C(O2)OCC(=CCO)CO)OC(=O)CC3=CC(=C(C=C3)O)O)OC(=O)CC4=CC(=C(C=C4)O)O)O)O)O,bitter,bitter,O=C(Cc1ccc(O)c(O)c1)OCC1OC(OCC(=CCO)CO)C(OC(=O)Cc2ccc(O)c(O)c2)C(OC(=O)Cc2ccc(O)c(O)c2)C1O,phytocompounds_db,bitter
PMTDB00812,bitter,C1=CC(=C(C=C1CC(=O)OCC2C(C(C(C(O2)OCC(=CCO)CO)O)OC(=O)CC3=CC(=C(C=C3)O)O)OC(=O)CC4=CC(=C(C=C4)O)O)O)O,bitter,bitter,O=C(Cc1ccc(O)c(O)c1)OCC1OC(OCC(=CCO)CO)C(O)C(OC(=O)Cc2ccc(O)c(O)c2)C1OC(=O)Cc1ccc(O)c(O)c1,phytocompounds_db,bitter
PMTDB00813,bitter,CC1CC(CC(=O)O1)OC2C(C(C(C(O2)CO)O)OC(=O)CC3=CC=C(C=C3)O)OC(=O)CC4=CC=C(C=C4)O,bitter,bitter,CC1CC(OC2OC(CO)C(O)C(OC(=O)Cc3ccc(O)cc3)C2OC(=O)Cc2ccc(O)cc2)CC(=O)O1,phytocompounds_db,bitter
PMTDB00814,bitter,CC(=CCO)COC1C(C(C(C(O1)CO)O)OC(=O)CC2=CC=CC=C2)OC(=O)CC3=CC(=C(C=C3)O)O,bitter,bitter,CC(=CCO)COC1OC(CO)C(O)C(OC(=O)Cc2ccccc2)C1OC(=O)Cc1ccc(O)c(O)c1,phytocompounds_db,bitter
PMTDB00815,bitter; acrid; pungent,CC(=CCO)COC1C(C(C(C(O1)CO)O)O)OC(=O)CC2=CC(=C(C=C2)O)O,bitter,bitter,CC(=CCO)COC1OC(CO)C(O)C(O)C1OC(=O)Cc1ccc(O)c(O)c1,phytocompounds_db,bitter; acrid; pungent
PMTDB00816,bitter; acrid; pungent,C1=CC(=C(C=C1CC(=O)OCC2C(C(C(C(O2)OCC(=CCO)CO)O)O)O)O)O,bitter,bitter,O=C(Cc1ccc(O)c(O)c1)OCC1OC(OCC(=CCO)CO)C(O)C(O)C1O,phytocompounds_db,bitter; acrid; pungent
PMTDB00817,bitter; acrid; pungent,CC(=CCO)COC1C(C(C(C(O1)CO)O)OC(=O)CC2=CC(=C(C=C2)O)O)O,bitter,bitter,CC(=CCO)COC1OC(CO)C(O)C(OC(=O)Cc2ccc(O)c(O)c2)C1O,phytocompounds_db,bitter; acrid; pungent
PMTDB00818,bitter; acrid; pungent,CC(=CCO)COC1C(C(C(C(O1)COC(=O)CC2=CC(=C(C=C2)O)O)O)O)O,bitter,bitter,CC(=CCO)COC1OC(COC(=O)Cc2ccc(O)c(O)c2)C(O)C(O)C1O,phytocompounds_db,bitter; acrid; pungent
PMTDB00819,bitter; acrid; pungent,CC(=CCO)COC1C(C(C(C(O1)CO)O)O)OC(=O)CC2=CC=C(C=C2)O,bitter,bitter,CC(=CCO)COC1OC(CO)C(O)C(O)C1OC(=O)Cc1ccc(O)cc1,phytocompounds_db,bitter; acrid; pungent
